year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,7.283100391715382926e+00,3.330812371604412903e+01
2.014000000000000000e+03,1.326797567440686976e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
year,PETwet,PETdry
2.013000000000000000e+03,1.182293595628124550e+01,3.330812371604412903e+01
2.014000000000000000e+03,-1.747193535257357055e+01,2.768748764538358031e+01
